id,nom,categorie,sous_categorie,categorie_v1,sous_categorie_v1,ville_region,adresse,telephone,latitude,longitude,source,statut_verification
305,Ecole Privee Victoire,Éducation & Formation,Lycée (public / privé),education,ecole privee,Balbala,Balbala,,11.560045,43.1127474,google_places,geolocalise
306,Cabinet d'Avocat Mohamed Hared,Services financiers & juridiques,Cabinet d'avocat / notaire,justice,cabinet d'avocat,Djibouti-ville,Plateau du Serpent,+253 77 66 45 47,11.6063352,43.1510869,google_places,geolocalise
307,CAA Djib Law Firm - Abayazid & Abdourahman,Services financiers & juridiques,Cabinet d'avocat / notaire,justice,cabinet d'avocats,Djibouti-ville,"Route de la Siesta, BP 1740",+253 21 35 40 17,11.5974609,43.1513399,google_places,geolocalise
308,Cabinet d'Avocat Ayman Said,Services financiers & juridiques,Cabinet d'avocat / notaire,justice,cabinet d'avocat,Djibouti-ville,"Rue Bourhan Bey, BP 2069",+253 21 35 47 02,11.5993138,43.1488655,google_places,geolocalise
309,Cabinet d'Avocat Wais,Services financiers & juridiques,Cabinet d'avocat / notaire,justice,cabinet d'avocat,Djibouti-ville,"Salines Ouest, Lot 175",+253 77 22 92 03,11.5841045,43.1348643,google_places,geolocalise
310,Office Notarial Ali Moussa Mohamed,Services financiers & juridiques,Cabinet d'avocat / notaire,justice,notaire,Djibouti-ville,"Ave Mahamoud Haid, Marabout, BP 1774",+253 77 59 99 80,11.6083462,43.1479796,google_places,geolocalise
311,"Cabinet Me Ali Abayazid, Notaire",Services financiers & juridiques,Cabinet d'avocat / notaire,justice,notaire,Djibouti-ville,"Ave Franchet d'Esperey, BP 4113",+253 77 56 12 13,11.6063443,43.1510188,google_places,geolocalise
312,Cabinet d'Avocat Boulboul,Services financiers & juridiques,Cabinet d'avocat / notaire,justice,cabinet d'avocat,Djibouti-ville,"Place du 27 Juin, Imm. Yacin Yabeh",+253 21 35 11 67,11.5950539,43.1475562,google_places,geolocalise
313,Etude Notariale Mahamoud,Services financiers & juridiques,Cabinet d'avocat / notaire,justice,notaire,Djibouti-ville,Centre-ville,+253 21 35 40 20,11.5952237,43.1463949,google_places,geolocalise
314,Al-Qarn Translation Services,Services financiers & juridiques,Cabinet d'avocat / notaire,services,traduction assermentee,Djibouti-ville,Rue de Madrid,+253 77 19 58 85,11.5933179,43.1477738,google_places,geolocalise
315,PB Jet (impression / photocopie),Services à la personne,Photographie / impression,services,imprimerie,Djibouti-ville,Centre-ville,+253 77 12 62 88,11.593111,43.1489405,google_places,geolocalise
316,Djib Impression Numerique,Services à la personne,Photographie / impression,services,imprimerie numerique,Djibouti-ville,Bd de Gaulle,+253 77 83 84 66,11.5896575,43.1515614,google_places,geolocalise
317,Imprimerie Nationale de Djibouti,Administration & Services publics,Ministère / institution d'État,administration,imprimerie d'Etat,Djibouti-ville,Route de l'aeroport,+253 21 35 01 63,11.5674429,43.1535522,google_places,geolocalise
318,Weprint,Services à la personne,Photographie / impression,services,imprimerie,Djibouti-ville,"Q3, Bd de Gaulle",+253 21 34 30 00,11.5884407,43.1521163,google_places,geolocalise
319,Imprimerie MAK,Services à la personne,Photographie / impression,services,imprimerie,Balbala,PK12,+253 77 30 49 10,11.5567787,43.1022087,google_places,geolocalise
320,Spectrum Printing,Services à la personne,Photographie / impression,services,imprimerie,Djibouti-ville,Route du Casino,+253 77 27 98 45,11.5712393,43.1561245,google_places,geolocalise
321,Multi-Services Olympiques Prints,Services à la personne,Photographie / impression,services,impression / services,Djibouti-ville,Rue de Madrid,+253 21 35 35 57,11.593515,43.1478253,google_places,geolocalise
322,Modern Photo (Hindi Photo),Services à la personne,Photographie / impression,services,studio photo,Djibouti-ville,66 Rue de Paris,+253 77 82 48 06,11.5953292,43.1472408,google_places,geolocalise
323,Art Studio,Services à la personne,Photographie / impression,services,studio photo / impression,Djibouti-ville,Rue de Bender,+253 77 04 77 77,11.59237,43.1454351,google_places,geolocalise
324,Vrinda Photo Studio,Services à la personne,Photographie / impression,services,studio photo,Djibouti-ville,Rue de Soleillet,+253 77 72 87 77,11.5930667,43.1462507,google_places,geolocalise
325,Studio Daous,Services à la personne,Photographie / impression,services,studio photo,Djibouti-ville,Q6 Avenue 26,+253 77 81 11 13,11.5843842,43.1463809,google_places,geolocalise
326,Photo Central,Services à la personne,Photographie / impression,services,studio photo,Djibouti-ville,Q4,,11.5883184,43.1454855,google_places,geolocalise
327,Flash Studio,Services à la personne,Photographie / impression,services,studio photo,Djibouti-ville,Rue de Bir Hakeim,+253 77 16 37 09,11.5930648,43.1455574,google_places,geolocalise
328,RS Prods (sonorisation / evenementiel),Services à la personne,Photographie / impression,services,audiovisuel / evenementiel,Balbala,Balbala,+253 77 24 01 01,11.567279,43.1079091,google_places,geolocalise
329,Quick Photo,Services à la personne,Photographie / impression,services,studio photo,Djibouti-ville,Rue de Paris,+253 77 87 29 85,11.5942941,43.1469799,google_places,geolocalise
330,Okar Studio Demha,Services à la personne,Photographie / impression,services,studio photo,Dikhil,Dikhil,+253 77 21 83 65,11.1097686,42.3707617,google_places,geolocalise
331,Studio Aladin,Services à la personne,Photographie / impression,services,studio photo,Tadjourah,Quartier 5,+253 77 12 96 23,11.8247087,42.5901384,google_places,geolocalise
332,Blanchisserie Pressing One,Services à la personne,Pressing / laverie,services,pressing,Djibouti-ville,Ave Georges Clemenceau,+253 21 35 12 16,11.5940635,43.1454713,google_places,geolocalise
333,Laundry King Djibouti,Services à la personne,Pressing / laverie,services,laverie,Djibouti-ville,Ave Mahamoud Haid,+253 21 25 35 35,11.6083623,43.1483224,google_places,geolocalise
334,Djibouti Laundry,Services à la personne,Pressing / laverie,services,laverie,Djibouti-ville,Gabode,+253 21 35 99 50,11.5692844,43.1462345,google_places,geolocalise
335,9 Pressing,Services à la personne,Pressing / laverie,services,pressing,Djibouti-ville,Heron,+253 77 55 99 99,11.6095759,43.149952,google_places,geolocalise
336,Atelier Hakam (soudure / menuiserie),Services à la personne,Informatique / réparation,artisanat,soudure / menuiserie,Balbala,Barwaqo,+253 77 76 90 14,11.5690601,43.1157172,google_places,geolocalise
337,Eye & Watch,Commerce & Courses,Optique / horlogerie,commerce,optique / horlogerie,Djibouti-ville,Bawadi Mall,+253 77 54 13 58,11.5909381,43.1325603,google_places,geolocalise
338,Optique Zivraj Prabhudas,Commerce & Courses,Optique / horlogerie,commerce,optique,Djibouti-ville,Rue de Londres,+253 21 35 09 02,11.5941755,43.146831,google_places,geolocalise
339,Laboratoire d'Analyses Medicales Abrar,Santé,Laboratoire d'analyses médicales,sante,laboratoire,Djibouti-ville,"Bd Hassan Gouled, Cite Wadajir 1",+253 21 35 50 00,11.5739201,43.1347986,google_places,geolocalise
340,Bio Gene Laboratories,Santé,Laboratoire d'analyses médicales,sante,laboratoire,Djibouti-ville,Bd de Gaulle,+253 77 62 06 91,11.5903723,43.1516682,google_places,geolocalise
341,Laboratoire d'Analyse BIO24,Santé,Laboratoire d'analyses médicales,sante,laboratoire,Djibouti-ville,"Q1, Waberi Business Center",+253 21 34 91 97,11.590455,43.1447052,google_places,geolocalise
342,Laboratoire Abdan,Santé,Laboratoire d'analyses médicales,sante,laboratoire,Djibouti-ville,Cite Saoudite,+253 21 35 03 60,11.5906365,43.1415526,google_places,geolocalise
343,LANAA (laboratoire national d'analyses),Santé,Laboratoire d'analyses médicales,sante,laboratoire (eau/aliments),Djibouti-ville,Rue de Venise,+253 21 35 80 67,11.5950265,43.1336127,google_places,geolocalise
344,Laboratoire LBM Mer Rouge,Santé,Laboratoire d'analyses médicales,sante,laboratoire,Djibouti-ville,Rue de Moscou,+253 21 35 30 12,11.5942941,43.1469799,google_places,geolocalise
345,Librairie Victor Hugo (Rue de Rome),Commerce & Courses,Librairie / papeterie,commerce,librairie,Djibouti-ville,Rue de Rome,+253 21 35 67 57,11.5951546,43.1475582,google_places,geolocalise
346,Librairie Victor Hugo (Moulk),Commerce & Courses,Librairie / papeterie,commerce,librairie,Djibouti-ville,Route de l'aeroport,+253 77 57 60 99,11.5683721,43.1525917,google_places,geolocalise
347,PBIS SARL (papeterie / bureautique),Commerce & Courses,Librairie / papeterie,commerce,papeterie / bureautique,Djibouti-ville,Centre-ville,+253 21 35 05 63,11.595659,43.1467479,google_places,geolocalise
348,Discorama (librairie / jouets),Commerce & Courses,Librairie / papeterie,commerce,librairie / jouets,Djibouti-ville,"Zone industrielle sud, BP 511",+253 21 35 06 64,11.5720656,43.1574108,google_places,geolocalise
349,CIBS (papeterie),Commerce & Courses,Librairie / papeterie,commerce,papeterie,Djibouti-ville,"10 Rue de Paris, Imm. Ambalach",+253 21 35 82 25,11.5953406,43.1471252,google_places,geolocalise
350,Hafad Housing - Agence Immobiliere,Commerce & Courses,Agence immobilière,immobilier,agence immobiliere,Djibouti-ville,Haramous,+253 77 32 97 00,11.5598488,43.1535903,google_places,geolocalise
351,Alhamdani Real Estate Investments,Commerce & Courses,Agence immobilière,immobilier,promotion immobiliere,Djibouti-ville,Gabode 5 Lot 105,+253 77 44 44 74,11.564412,43.1455612,google_places,geolocalise
352,Janaat Immobilier,Commerce & Courses,Agence immobilière,immobilier,agence immobiliere,Djibouti-ville,Rue de Soleillet,+253 77 06 93 49,11.5932886,43.1454153,google_places,geolocalise
353,Societe Immobiliere de Djibouti (SID),Administration & Services publics,Office / agence publique sectorielle,immobilier,societe publique,Djibouti-ville,Q1,+253 21 35 19 77,11.5910121,43.1436829,google_places,geolocalise
354,City Life Agency,Commerce & Courses,Agence immobilière,immobilier,agence immobiliere,Djibouti-ville,Haramous,+253 21 25 05 05,11.5720813,43.1575082,google_places,geolocalise
355,Dream House Real Estate,Commerce & Courses,Agence immobilière,immobilier,agence immobiliere,Djibouti-ville,Ave Bernard,+253 77 83 46 35,11.5720558,43.1455324,google_places,geolocalise
356,Iibiy (plateforme immobiliere),Commerce & Courses,Agence immobilière,immobilier,plateforme en ligne,Djibouti-ville,,+253 77 78 08 08,11.5586589,43.1392678,google_places,geolocalise
357,Regus - Salaam Tower (coworking),Services à la personne,Informatique / réparation,services,coworking / bureaux,Djibouti-ville,"5e etage, Salaam Tower, Rue de Geneve",+253 21 33 46 14,11.5918896,43.1429604,google_places,geolocalise
358,ARULOS - Agence de Rehabilitation Urbaine et du Logement Social,Administration & Services publics,Office / agence publique sectorielle,administration,agence / office public - logement social,Djibouti-ville,Zone industrielle,+253 21 35 43 44,11.5785715,43.158588,google_places,geolocalise
359,Alkhalil For Money Transfer,Services financiers & juridiques,Transfert d'argent / change / mobile money,finance,transfert d'argent,Djibouti-ville,"Ave Roosevelt, face Mosquee Hamoudi",+253 21 35 91 11,11.5926314,43.1461653,google_places,geolocalise
360,Bab Al-Yemen Jewelery,Commerce & Courses,Bijouterie / parfumerie,commerce,bijouterie,Djibouti-ville,Ave Brazzaville,+253 77 51 95 80,11.5928942,43.1487342,google_places,geolocalise
361,Bijouterie Mukesh Ranpara,Commerce & Courses,Bijouterie / parfumerie,commerce,bijouterie,Djibouti-ville,Rue de Bender,+253 77 82 88 02,11.592764,43.1482879,google_places,geolocalise
362,Ali Baba Treasures (souvenirs),Commerce & Courses,Boutique spécialisée,commerce,souvenirs / artisanat,Djibouti-ville,Centre-ville,+253 77 46 66 95,11.5930854,43.1488594,google_places,geolocalise
363,Alanwar Bijouterie,Commerce & Courses,Bijouterie / parfumerie,commerce,bijouterie,Djibouti-ville,Rue de Bender,,11.5928145,43.1484876,google_places,geolocalise
364,Boutique AFIA (miel yemenite),Commerce & Courses,Bijouterie / parfumerie,commerce,miel / produits naturels,Djibouti-ville,Ave Brazzaville,+253 77 32 21 74,11.593046,43.148689,google_places,geolocalise
365,Aqua Club Diving Center,Tourisme & Loisirs,Centre de plongée / sports nautiques,tourisme,centre de plongee,Djibouti-ville,Rue de Moscou,+253 77 82 31 50,11.5938634,43.1485556,google_places,geolocalise
366,Dolphin Excursions (plongee / requin-baleine),Tourisme & Loisirs,Centre de plongée / sports nautiques,tourisme,excursions maritimes,Djibouti-ville,"Haramous, Massida compound",+253 77 36 79 46,11.5708154,43.1590162,google_places,geolocalise
367,Ets Wassel SARL (electromenager),Commerce & Courses,Électroménager / mobilier,commerce,electromenager / mobilier,Djibouti-ville,Bd de Gaulle,+253 21 35 55 55,11.5904756,43.1517112,google_places,geolocalise
368,Dico Meubles / Chez Dico,Commerce & Courses,Électroménager / mobilier,commerce,mobilier,Djibouti-ville,Ave Georges Clemenceau,+253 21 35 15 37,11.5939275,43.1469652,google_places,geolocalise
369,Rage Electronics,Commerce & Courses,Électroménager / mobilier,commerce,electromenager,Djibouti-ville,Rue de Geneve,+253 21 35 12 77,11.5930462,43.1450607,google_places,geolocalise
370,Airmost (climatisation),Commerce & Courses,Électroménager / mobilier,commerce,climatisation,Djibouti-ville,Route du Kempinski,+253 77 43 39 76,11.6098248,43.1456186,google_places,geolocalise
371,Wassel Meubles,Commerce & Courses,Électroménager / mobilier,commerce,mobilier,Djibouti-ville,Rue de Bender,+253 21 35 19 10,11.5928935,43.1479452,google_places,geolocalise
372,Skylife Homes,Commerce & Courses,Électroménager / mobilier,commerce,mobilier,Djibouti-ville,"Zone industrielle sud, Boulaos",+253 21 35 66 67,11.5740029,43.1522306,google_places,geolocalise
373,Ceramica Wassel,Commerce & Courses,Quincaillerie / bricolage,commerce,carrelage / peinture,Djibouti-ville,Bd de Gaulle,+253 21 35 70 70,11.5905885,43.1513265,google_places,geolocalise
374,Happy Home,Commerce & Courses,Électroménager / mobilier,commerce,mobilier,Djibouti-ville,"Hamoudi Center, Ave Roosevelt",,11.5926792,43.1451208,google_places,geolocalise
375,Cyb-ista Solutions,Services à la personne,Informatique / réparation,services,developpement web / IT,Djibouti-ville,Rue de Rome,+253 77 14 30 88,11.5953166,43.1477185,google_places,geolocalise
376,AfricoTech Solutions,Services à la personne,Informatique / réparation,services,services informatiques,Djibouti-ville,Q7,+253 77 43 49 58,11.5885948,43.1453647,google_places,geolocalise
377,Dasi-max Technologie,Services à la personne,Informatique / réparation,services,reseaux informatiques,Djibouti-ville,Centre-ville,+253 77 23 40 61,11.5885948,43.1453647,google_places,geolocalise
378,SDSI,Services à la personne,Informatique / réparation,services,informatique,Djibouti-ville,Rue de Venise,+253 21 35 13 22,11.5900094,43.1350767,google_places,geolocalise
379,Tech Right Multi Services,Commerce & Courses,Électronique / téléphonie,commerce,informatique / electronique,Djibouti-ville,"Rue Nelson Mandela, Aviation",+253 77 01 74 24,11.5581568,43.1413213,google_places,geolocalise
380,Mastertic,Services à la personne,Informatique / réparation,services,informatique,Djibouti-ville,"Rue de Bruxelles, Res. Ougoul",+253 77 42 19 78,11.5950871,43.1481785,google_places,geolocalise
381,Choufa Tech,Services à la personne,Informatique / réparation,services,informatique,Djibouti-ville,Ave Georges Clemenceau,+253 77 79 59 39,11.5934047,43.1476757,google_places,geolocalise
382,"Smarttech Zone (IT & Security, Hikvision)",Services à la personne,Informatique / réparation,services,securite electronique / IT,Djibouti-ville,Hamoudi Trading Center,+253 77 16 79 03,11.5927141,43.1450277,google_places,geolocalise
383,CraftNova Solutions,Services à la personne,Informatique / réparation,services,informatique,Djibouti-ville,"Imm. Elmi Guessod, Rue de Geneve",+253 77 50 54 20,11.5969175,43.145749,google_places,geolocalise
384,East Network Engineering,Services à la personne,Informatique / réparation,services,reseaux / cybersecurite,Djibouti-ville,"Ave Guelleh Batal, Ambouli",+253 77 19 76 58,11.5745953,43.1443081,google_places,geolocalise
385,Caritas Djibouti,Associations & ONG,ONG internationale,ONG_association,ONG,Djibouti-ville,"Rue Capitaine Briard, BP 94",+253 21 35 39 81,11.5994452,43.1506682,google_places,geolocalise
386,International Children Action Network,Associations & ONG,ONG internationale,ONG_association,ONG enfance,Djibouti-ville,Heron,,11.6153413,43.1480098,google_places,geolocalise
387,HCR Djibouti (UNHCR),Diplomatie & Organisations internationales,Agence ONU,organisation_internationale,agence ONU,Djibouti-ville,Heron,,11.6131725,43.1512345,google_places,geolocalise
388,CICR Djibouti,Diplomatie & Organisations internationales,Organisation internationale,organisation_internationale,Croix-Rouge internationale,Djibouti-ville,Heron,+253 21 35 26 11,11.61593,43.1488426,google_places,geolocalise
389,Croissant-Rouge de Djibouti,Associations & ONG,Organisation humanitaire,ONG_association,societe nationale,Balbala,Balbala,+253 21 33 98 50,11.5564955,43.1240322,google_places,geolocalise
390,Campement Ras Bir - Houguef Beach,Hébergement,Campement / écolodge,hebergement,campement touristique,Obock,Ras Bir,+253 77 83 75 49,11.9798926,43.3277791,google_places,geolocalise
391,Campement de la Foret du Day,Hébergement,Campement / écolodge,hebergement,campement touristique,Region de Tadjourah,Day,+253 77 82 94 74,11.7831026,42.6411398,google_places,geolocalise
392,Auberge de l'Avenue 13,Hébergement,Auberge / guesthouse,hebergement,auberge,Djibouti-ville,Bd de Gaulle,+253 21 25 43 43,11.5897035,43.1514986,google_places,geolocalise
393,Campement de Ras Ali,Hébergement,Campement / écolodge,hebergement,campement touristique,Tadjourah,Ras Ali,+253 77 02 92 84,11.7726585,42.9355097,google_places,geolocalise
394,Hotel Auberge Boulaos,Hébergement,Hôtel (standard),hebergement,hotel,Djibouti-ville,Zone industrielle sud,+253 21 33 43 43,11.5731645,43.155897,google_places,geolocalise
395,Campement de Dittilou,Hébergement,Campement / écolodge,hebergement,campement touristique,Region de Tadjourah,Dittilou,,11.7808009,42.6933558,google_places,geolocalise
396,La Mer Rouge Village (Obock),Hébergement,Auberge / guesthouse,hebergement,guesthouse,Obock,Obock,+253 77 70 69 95,11.9646882,43.2883982,google_places,geolocalise
397,Hotel Ali Sabieh (Djibouti-ville),Hébergement,Hôtel (standard),hebergement,hotel,Djibouti-ville,Centre-ville,+253 21 35 32 64,11.5940132,43.145854,google_places,geolocalise
398,Auberge de Dikhil,Hébergement,Auberge / guesthouse,hebergement,auberge,Dikhil,Quartier TP,+253 77 43 90 92,11.1066257,42.3620982,google_places,geolocalise
399,Hotel-Restaurant Palmeraie Dikhil,Hébergement,Hôtel (standard),hebergement,hotel,Dikhil,Dikhil,+253 77 10 31 46,11.1072126,42.3742485,google_places,geolocalise
400,La Taverne Restaurant,Alimentation & Restauration,Restaurant international,restauration,restaurant francais,Djibouti-ville,Haramous,+253 77 64 74 74,11.5647288,43.1640215,google_places,geolocalise
401,Poissonnerie Ocean,Commerce & Courses,Boutique spécialisée,commerce,poissonnerie,Djibouti-ville,Q4,+253 77 85 47 20,11.58924,43.143951,google_places,geolocalise
402,L'Elixir Parfumerie & Cosmetiques,Commerce & Courses,Bijouterie / parfumerie,commerce,parfumerie,Djibouti-ville,Centre-ville,+253 21 35 28 38,11.5933878,43.1446375,google_places,geolocalise
403,Jewel Perfume and Cosmetics,Commerce & Courses,Bijouterie / parfumerie,commerce,parfumerie,Djibouti-ville,Centre-ville,+253 77 08 30 64,11.592868,43.1458687,google_places,geolocalise
404,Parfumerie Saidati,Commerce & Courses,Bijouterie / parfumerie,commerce,parfumerie,Djibouti-ville,Moulk,+253 77 13 46 71,11.5682591,43.152618,google_places,geolocalise
405,Touch Me Perfumes and Cosmetics,Commerce & Courses,Bijouterie / parfumerie,commerce,parfumerie,Djibouti-ville,"Rue d'Ethiopie, pres Mosquee Hamoudi",+253 77 72 72 72,11.5928125,43.1460625,google_places,geolocalise
406,Rasasi Perfumes & Cosmetics,Commerce & Courses,Bijouterie / parfumerie,commerce,parfumerie,Djibouti-ville,Ligne bus Hayableh,+253 77 26 46 30,11.5909638,43.1468773,google_places,geolocalise
407,Djibouti Cosmetiques,Commerce & Courses,Bijouterie / parfumerie,commerce,cosmetiques,Djibouti-ville,Centre-ville,+253 77 86 43 85,11.5928502,43.1460237,google_places,geolocalise
408,Abu Alghaith Trading (parfums),Commerce & Courses,Bijouterie / parfumerie,commerce,parfumerie,Djibouti-ville,Place Rainbow / Daqsila,+253 77 20 96 54,11.5898088,43.1467595,google_places,geolocalise
409,Rose Paris (parfums / oud),Commerce & Courses,Bijouterie / parfumerie,commerce,parfumerie,Djibouti-ville,Ave Roosevelt,+253 77 58 18 79,11.5927041,43.1460857,google_places,geolocalise
410,Parfumerie Modarek,Commerce & Courses,Bijouterie / parfumerie,commerce,parfumerie,Djibouti-ville,Centre-ville,+253 21 35 19 68,11.5938513,43.1463053,google_places,geolocalise
411,O'nasty Herbal,Commerce & Courses,Bijouterie / parfumerie,commerce,produits naturels,Balbala,Pres commissariat Al Rahma,+253 77 38 65 62,11.5578655,43.0986812,google_places,geolocalise
412,Boutique Okar Abdillahi Said,Commerce & Courses,Boutique spécialisée,commerce,boutique-restaurant,Dikhil,Centre de Dikhil,+253 27 42 01 80,11.1069625,42.3699844,google_places,geolocalise
413,Okareh Boys Band Ethio Fast Food,Alimentation & Restauration,Fast-food & snack,restauration,fast-food,Dikhil,Dikhil,+253 77 82 88 52,11.1054525,42.370419,google_places,geolocalise
414,Mosquee de Tadjourah (front de mer),Culture & Culte,Mosquée,culte,mosquee,Tadjourah,Tadjourah,,11.7850525,42.8688206,google_places,geolocalise
415,Ecole D'Ileys (CEM Gabode II),Éducation & Formation,École primaire,education,ecole / college,Djibouti-ville,Gabode II,+253 21 35 37 85,11.5707206,43.1493266,google_places,geolocalise
416,Ecole La Farandole,Éducation & Formation,Lycée (public / privé),education,ecole privee,Djibouti-ville,"Gabode, face hotel Red Sea",+253 77 85 98 92,11.5681224,43.1488148,google_places,geolocalise
417,Ecole de la Nativite,Éducation & Formation,École internationale / française,education,ecole privee catholique,Djibouti-ville,Plateau du Serpent,+253 21 35 09 72,11.6058441,43.155674,google_places,geolocalise
418,Ecole primaire de Gabal,Éducation & Formation,École primaire,education,ecole primaire,Djibouti-ville,Gabal,,11.5615862,43.1419269,google_places,geolocalise
419,Ecole Privee des Lumieres,Éducation & Formation,Lycée (public / privé),education,ecole privee,Djibouti-ville,Ambouli,+253 21 35 62 61,11.5647813,43.132423,google_places,geolocalise
420,Police - 5e arrondissement,Administration & Services publics,Police / gendarmerie,securite,commissariat,Balbala,Balbala,+253 77 33 07 96,11.5614184,43.1169154,google_places,geolocalise
421,Police - 2e arrondissement,Administration & Services publics,Police / gendarmerie,securite,commissariat,Djibouti-ville,RN2,,11.5793209,43.1436579,google_places,geolocalise
422,Police - 3e arrondissement,Administration & Services publics,Police / gendarmerie,securite,commissariat,Djibouti-ville,Ambouli,+253 77 11 55 30,11.5670347,43.1323002,google_places,geolocalise
423,Bureau du 2e arrondissement - Commune de Boulaos,Administration & Services publics,Collectivité territoriale,administration,arrondissement,Djibouti-ville,RN2,,11.5792411,43.1436579,google_places,geolocalise
424,Cabinet Veterinaire (Route de l'aeroport),Santé,Vétérinaire,sante,veterinaire,Djibouti-ville,Airport Road,+253 21 34 01 19,11.5556636,43.148312,google_places,geolocalise
425,Splash City (parc aquatique),Tourisme & Loisirs,Parc aquatique / cinéma,loisirs,parc aquatique,Djibouti-ville,Heron,+253 77 33 40 00,11.6189102,43.1509704,google_places,geolocalise
426,Star Cinemas (Bawadi Mall),Tourisme & Loisirs,Parc aquatique / cinéma,loisirs,cinema,Djibouti-ville,"Bawadi Mall, Rue de Venise",+253 21 25 21 21,11.5906444,43.1330092,google_places,geolocalise
427,Complexe Djicimbir (foot 5 / aire de jeux),Tourisme & Loisirs,Complexe sportif / salle de sport,loisirs,complexe sportif,Balbala,"Hodan 4, Rue d'Arta",+253 77 85 53 99,11.5506112,43.0905593,google_places,geolocalise
428,Complexe Sportif et des Loisirs (Haramous),Tourisme & Loisirs,Complexe sportif / salle de sport,loisirs,terrains de football,Djibouti-ville,Haramous,+253 77 49 24 66,11.5684572,43.1591155,google_places,geolocalise
429,Joyland Centre de Loisirs,Tourisme & Loisirs,Complexe sportif / salle de sport,loisirs,aire de jeux / evenements,Djibouti-ville,Aviation,+253 77 40 79 86,11.5577404,43.1536669,google_places,geolocalise
430,Irmaan Exchange,Services financiers & juridiques,Transfert d'argent / change / mobile money,finance,transfert d'argent / change,Djibouti-ville,Centre-ville,+253 21 34 57 57,11.5937662,43.1452405,google_places,geolocalise
431,CPEC de Djibouti,Services financiers & juridiques,Microfinance,finance,microfinance,Djibouti-ville,Q6,+253 21 35 35 95,11.5782658,43.1367142,google_places,geolocalise
432,Fonds de Developpement Economique de Djibouti (FDED),Administration & Services publics,Institution publique / fonds,finance,fonds public,Djibouti-ville,Ave Mohamed Farah Dirir,+253 21 35 33 91,11.5936625,43.1479844,google_places,geolocalise
433,ADDS - Agence Djiboutienne de Developpement Social,Administration & Services publics,Office / agence publique sectorielle,administration,agence / office public - developpement social,Djibouti-ville,"Ave Mohamed Djama Elabeh, Plateau du Serpent, BP 4298",,11.6044139,43.1536764,google_places,geolocalise
434,UNFD - Union Nationale des Femmes Djiboutiennes,Associations & ONG,Association locale,ONG_association,association nationale,Djibouti-ville,Q6,+253 21 35 04 21,11.5781869,43.137525,google_places,geolocalise
435,Securit'as Djibouti,Services à la personne,Sécurité privée,services,securite privee,Djibouti-ville,Route de l'aeroport,+253 21 34 20 87,11.5618654,43.1480991,google_places,geolocalise
436,Group One Security,Services à la personne,Sécurité privée,services,securite privee,Djibouti-ville,Plateau du Serpent,+253 21 32 38 40,11.606953,43.1556761,google_places,geolocalise
437,Select Security Services,Services à la personne,Sécurité privée,services,securite privee,Djibouti-ville,Haramous,,11.5683832,43.1618061,google_places,geolocalise
438,Mosquee Dar Al-Rahma,Culture & Culte,Mosquée,culte,mosquee,Balbala,Balbala,+253 77 05 42 09,11.5710558,43.0988542,google_places,geolocalise
439,Mosquee Aicha,Culture & Culte,Mosquée,culte,mosquee,Balbala,Balbala,,11.5555065,43.1024244,google_places,geolocalise
440,Mosquee Ummu Salamah,Culture & Culte,Mosquée,culte,mosquee,Balbala,PK12,,11.5757819,43.0825855,google_places,geolocalise
441,Mosquee Fatouma-Zahra (et ecole coranique),Culture & Culte,Mosquée,culte,mosquee / madrasa,Balbala,PK12,+253 77 60 46 04,11.553296,43.0833106,google_places,geolocalise
442,Mosquee Agadalis,Culture & Culte,Mosquée,culte,mosquee,Balbala,Balbala,,11.5614903,43.1068416,google_places,geolocalise
443,Mosquee Bab Al-Rahma,Culture & Culte,Mosquée,culte,mosquee,Balbala,Balbala,,11.5623125,43.0868594,google_places,geolocalise
444,Mosquee Sourour,Culture & Culte,Mosquée,culte,mosquee,Balbala,"Daisteh, 4e arrondissement",+253 77 88 75 34,11.5527437,43.1161385,google_places,geolocalise
445,Mosquee Barwaqo,Culture & Culte,Mosquée,culte,mosquee,Balbala,Barwaqo,+253 77 30 98 18,11.568612,43.1100812,google_places,geolocalise
446,Le Sporting (articles de sport),Commerce & Courses,Articles de sport,commerce,articles de sport,Djibouti-ville,Place du 27 Juin,+253 21 35 06 59,11.5945638,43.1468851,google_places,geolocalise
447,Le Sporting - Bawadi Mall,Commerce & Courses,Articles de sport,commerce,articles de sport,Djibouti-ville,Bawadi Mall,+253 21 35 88 47,11.5909456,43.1333649,google_places,geolocalise
448,Pharmacie de l'Hopital (Bawadi),Santé,Pharmacie,sante,pharmacie,Djibouti-ville,,,11.570767,43.132526,nearplace_annuaire,a_verifier
449,Pharmacie de la Republique,Santé,Pharmacie,sante,pharmacie,Djibouti-ville,Avenue 13,,11.589538,43.150844,nearplace_annuaire,a_verifier
450,Pharmacie Al Nour,Santé,Pharmacie,sante,pharmacie,Djibouti-ville,Centre-ville,,11.593657,43.147885,nearplace_annuaire,a_verifier
451,Pharmacie de la Corne d'Afrique,Santé,Pharmacie,sante,pharmacie,Djibouti-ville,Rue d'Athenes,,11.595586,43.14796,nearplace_annuaire,a_verifier
452,Pharmacie de Balbala,Santé,Pharmacie,sante,pharmacie,Balbala,Balbala,,11.558142,43.111108,nearplace_annuaire,a_verifier
